ID,Parameter,Units,Description,Distribution,Reference
1,ID,-,ID of your baseline scenario,-,-
2,dt,min,Time steps,-,-
3,DRk,PFU,Dose Parameter of dose response function,-,"Watanabe T, Bartrand TA, Weir MH, Omura T, Haas CN.2010. Development of a dose-response model for SARScoronavirus. Risk Anal. 30(7):1129–1138. doi:10.1111/j.1539-6924.2010.01427.x"
4,ExtraExpVolStudy,"String [""Duguid"", ""LoudenandRoberts"", ""Zhu""]",Name of study that estimated total expiratory droplet numbers produced during coughing and speaking using the measures size profile of 10mm,-,"(Chao et al., 2009)"
5,Vts,m/s,Terminal settling velocity,-,"(Hinds, 1999)"
6,gflow,-,Lower limit of RNA to PFU ratio,Uniform,Assumed
7,gfhigh,-,Upper limit of RNA to PFU ratio,Uniform,Assumed
8,distsalivavirusconc,"String [""equal"", ""lowernonresp""]",Distribution of virus concentration across the 16 size bins (for saliva concentration),-,"(Jones, 2020)"
9,SpeakontoSurf,Y/N,Should viral emissions from speaking be exhaled onto surfaces?,-,-
10,Roomheight,m,Room height,-,Assumed
11,RoomairflowNFFF,m/min,Random air speed between zones,-,"Baldwin P, Maynard A. 1988. A survey of wind speeds in indoor workplaces. Ann Occup Hyg. 42(5)L303-313. doi:10.1016/s0003-4878(98)0031-3"
12,Roomvolumemin,m3,Lower limit of volume of room,Uniform,CSO study
13,Roomvolumemax,m3,Upper limit of volume of room,Uniform,CSO study
14,RoomACHmin,h-1,Lower limit of air exchange rate,Uniform,CSO study
15,RoomACHmax,h-1,Upper limit of air exchange rate,Uniform,CSO study
16,Roomwindowsopen,Y/N,Whether the window is open,-,Assumed
17,RoomUVCpurificationinroom,Y/N,Whether there is a UVC air purification unit in the room,-,Assumed
18,RoomUVCmaxflowrate,m3/hour,Max flow rate of UVC air purification unit (as specified by manufacturer),-,Assumed
19,RoomUVCeffmin,%,Lower limit of percentage efficiency of UVC air purification unit,Uniform,Assumed
20,RoomUVCeffmax,%,Upper limit of percentage efficiency of UVC air purification unit,Uniform,Assumed
21,Roomwindspeedmin,m/s,Lower limit of wind speed at the building height at a site sufficiently away from the building without any obstructions,Uniform,Assumed
22,Roomwindspeedmax,m/s,Upper limit of wind speed at the building height at a site sufficiently away from the building without any obstructions,Uniform,Assumed
23,RoomsoaW,m,Width of smallest opening area ,-,Assumed
24,RoomsoaH,m,Height of smallest opening area ,-,Assumed
25,RoomsoaP,"[0,1]",Proportion of window open,-,Assumed
26,RoomNFw,m,Near field zone width,-,Assumed
27,RoomNFh,m,Near field zone height,-,Assumed
28,RoomNFd,m,Near field zone depth,-,Assumed
29,Infected,Number [1:4],Number of Infected individuals,-,-
30,InfStageofInfection,"String [""Pre-peak"", ""Around peak"", ""Peak"", ""Post-peak""]",The stage of infection of the infected individual,Logistic and Cauchy,Protect Human Challenge Study
31,Infcoughrateperhourmin,h-1,Lower limit of the the number of times the infected individual coughs per hour,Triangle,"(Sunger et al., 2013; Scheff et al., 2000)"
32,Infcoughrateperhourmax,h-1,Upper limit of the the number of times the infected individual coughs per hour,Triangle,"(Sunger et al., 2013; Scheff et al., 2000)"
33,Infcoughrateperhourmode,h-1,Mode of the the number of times the infected individual coughs per hour,Triangle,"(Sunger et al., 2013; Scheff et al., 2000)"
34,InfCsprayprobmin,"[0,1]",Lower limit of control placed on the infected person's droplet spray emission,Triangle,-
35,InfCsprayprobmax,"[0,1]",Upper limit of control placed on the infected person's droplet spray emission,Triangle,-
36,InfCsprayprobmode,"[0,1]",Mode of control placed on the infected person's droplet spray emission,Triangle,-
37,InfCexhaleprobmin,"[0,1]",Lower limit of control placed on the infected person's droplet spray emission,Triangle,-
38,InfCexhaleprobmax,"[0,1]",Upper limit of control placed on the infected person's droplet spray emission,Triangle,-
39,InfCexhaleprobmode,"[0,1]",Mode of control placed on the infected person's droplet spray emission,Triangle,-
40,InfsurfacesNF,cm2,Area of surfaces in near field,-,Assumed
41,InfsurfacesFF,cm2,Area of surfaces in far field,-,Assumed
