"ID","dt","DRk","Vts","gflow","gfhigh","SpeakontoSurf","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","InfsurfacesNF","InfsurfacesFF","Infnonsilenttime","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","TRANSskin.abs","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.7781427502632","3.99074524160852","26.64","0.557577136039957","24.699146157541","3.0830607181415","0.05","90","14.1272572144109","36.7346268056799","9","0","0.612243780094665","12444.7310951107","540.478453505784","resting-speaking","122.22767627172","122.22767627172","122.22767627172","0.00388772144998389","0.000629735759416025","2.07645979288359","15.2","0.0502278481943287","0.23","1.53567052751864","3.5529761391474","0","0.00597960794810206","Duguid","equal","1","1","1","1","0.22615632808546","0.135408049917324","0","0","14127","0.004","0.00632911392405063","215.023599807787","0","0.230120124908712","0","0","0.000777319965967876","0.00776287311288048","4.08664533385951","0","3.68244181814248e-07","1.8959005587682e-06","1.89336576167376e-05","2.11978459240289e-05","2.11978459240289e-05"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.8018395123072","4.03327160471939","26.64","0.545881062398923","24.4387211326567","3.44329118146561","0.05","90","6.65653656306252","35.8911525914627","4","0","0.598185876524379","114240.149967216","626.41253543552","resting-speaking","387.474196567267","387.474196567267","387.474196567267","0.00569337377660013","0.000612806890131377","0.883829493195009","15.2","0.0204750356532007","0.23","3.92856160590127","1.03969220008789","0","0.00194999628257938","Duguid","equal","1","1","1","1","0.618630909284241","1.17513671634878","0","0","6656","0.004","0.00632911392405063","1917.62973829627","0","0.63074025899507","0","0","0.000683292951443511","0.00527166909841326","18.3485718967179","0","1.07080210154376e-06","1.6665667855742e-06","1.28576468481079e-05","1.55950527159344e-05","1.55950527159344e-05"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.5377275794744","4.02234291507965","26.64","0.54885140546352","24.5051210403945","3.15814150497317","0.05","100","5.42313220959892","33.330536481141","3","0","0.555508941352349","580303906.960205","715.276588802226","resting-speaking","69.0192349153402","69.0192349153402","69.0192349153402","0.00185102796940429","0.000751603443850393","0.748954874304897","15.2","0.0720545865710798","0.23","3.04170041925418","3.12268301143097","0.737581133080256","0.00990193603700027","Duguid","equal","1","1","1","1","0.383972560881145","5031.23980619084","0","0","5423","0.004","0.00632911392405063","6694008.45267056","0","0.393938849820845","0","0.00298993022621337","1.85811916111258e-06","0.00263293448085543","77686.6443358825","7.29248615660705e-06","0.142625","4.53199799910209e-09","6.421770797016e-06","0.142640675484741","0.142640675484741"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.009397407528","4.0003915394841","26.64","0.55489136374419","24.6395881570911","2.84159191139042","0.05","90","10.0752417820865","35.7074918164747","6","0","0.595124863607911","3246.41119172101","977.914577932097","resting-speaking","226.226352473338","226.226352473338","226.226352473338","0.00647872204893821","0.000685865503043979","1.13692022933179","15.2","0.0136724871024078","0.23","1.66116472950418","0.794907895325258","0","0.00569909026031382","Duguid","equal","1","1","1","1","0.231336769935978","0.0189563876437464","0","0","10075","0.004","0.00632911392405063","27.6386369625167","0","0.236273894210105","0","0","0.000479239850426132","0.00438649052648819","0.723203205914129","0","8.13122302822933e-09","1.16887700085666e-06","1.06987001501357e-05","1.18757209759832e-05","1.18757209759832e-05"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.2371458639391","3.96808710690424","26.64","0.563962947226603","24.8401805062438","3.10991931590252","0.05","100","9.31991425909638","32.2509438715069","5","0","0.537515731191782","1353.35275763133","789.86277396325","resting-speaking","218.268740771145","218.268740771145","218.268740771145","0.00190009865147158","0.000719920427431086","1.71948509299848","15.2","0.110080208495106","0.23","2.84326710016473","0.336827879573692","0.214594248873907","0.00532735962723382","Duguid","equal","1","1","1","1","0.276338116932873","0.00904202787911385","0","0","9319","0.004","0.00632911392405063","12.5597601270724","0","0.280110278387081","0","8.05139273823881e-10","2.14256468107608e-06","0.00525746869539212","0.242755514425613","1.96376248595698e-12","6.88264445436459e-10","5.22576748540615e-09","1.28230121634321e-05","1.28289282349899e-05","1.28289282349899e-05"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.8266171240248","3.99276917790251","26.64","0.55701200716155","24.6866261504703","2.9839527301956","0.05","90","10.7580661436895","37.0028710003586","7","0","0.616714516672644","433851.179892252","694.057995919138","resting-speaking","85.8088795254764","85.8088795254764","85.8088795254764","0.00450948433421288","0.000663874640121422","0.921896542682159","15.2","0.00855865945977304","0.23","1.96565398012355","2.52217445369186","0.464767545878394","0.00674867407185957","Duguid","equal","1","1","1","1","0.12388326914545","4.22247730201241","0","0","10758","0.004","0.00632911392405063","6360.35336617184","0","0.126247283987594","0","9.66360499738558e-05","0.000288391942682492","0.00265311209793554","121.247663262429","2.3569765505993e-07","0.000276068166532362","7.03394734791196e-07","6.47098418005143e-06","0.000283480294701305","0.000283480294701305"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.7640438624658","3.9901563821679","26.64","0.557741720460449","24.7027912090119","2.76912393886596","0.05","100","12.1086141355857","36.2032940238317","7","0","0.603388233730528","167.012010847218","821.460245875642","resting-speaking","132.975437990909","132.975437990909","132.975437990909","0.00378949102131204","0.000787904377967118","1.6754575014503","15.2","0.374628294900355","0.23","5.3821653084329","5.71186830795071","0","0.00732418435928412","Duguid","equal","1","1","1","1","0.161876972858043","0.0011350485643611","0","0","12108","0.004","0.00632911392405063","1.44059177243012","0","0.165589231933203","0","0","1.59501215383054e-06","0.0048236893710937","0.044329613617541","0","4.28492796800128e-11","3.8902735477464e-09","1.17650268185443e-05","1.17689599876452e-05","1.17689599876452e-05"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.5665885047056","3.98190023752084","26.64","0.560056981958347","24.7540104272851","2.81157630356029","0.05","100","5.30488341517102","33.3207017989398","3","0","0.55534502998233","2783611.60552546","606.619756203145","resting-speaking","167.164272272044","167.164272272044","167.164272272044","0.00377812365580406","0.000684599510253573","1.37439023497403","15.2","0.315196208048809","0.23","4.12882311757865","2.63971847235364","0","0.00710148888058029","Duguid","equal","1","1","1","1","0.277125133674601","27.9161521956912","0","0","5304","0.004","0.00632911392405063","40777.3475989651","0","0.282722525010296","0","0","1.31511629813747e-06","0.00192835595649265","340.113846817224","0","0.000953462346222955","3.20760074057347e-09","4.7032961504323e-06","0.000958173337463338","0.000958173337463338"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.7532272026874","3.98970455057712","26.64","0.55786805542853","24.7055887849495","3.34205901483074","0.05","100","13.1011711013209","33.2059515643957","7","0","0.553432526073262","67712.7515659168","665.732317022048","resting-speaking","123.78633091861","123.78633091861","123.78633091861","0.00600904100896294","0.000649179381122708","0.73006881394933","15.2","0.0105903123944998","0.23","2.2935051401959","2.16039528460202","0","0.00159626958356239","Duguid","equal","1","1","1","1","0.185973737833265","0.519602206356943","0","0","13101","0.004","0.00632911392405063","800.398505353528","0","0.187955715445341","0","0","1.96929334582118e-06","0.00602649535489344","16.729665298306","0","1.46816127644112e-06","4.80315454076674e-09","1.46986611319067e-05","1.61716472205455e-05","1.61716472205455e-05"
"Hospital (single patient)",0.001,410,0.000285,500,1000,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,5000,5000,0.25,"Chen",0,3,3.47,5,5,0.7,10,10,5.2,90,100,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.4984944509342","4.02071695310402","26.64","0.549295401879982","24.5150308140703","2.63725294801407","0.05","100","12.5928717004508","30.6625883221935","6","0","0.511043138703225","779.22567017544","739.350282819942","resting-speaking","274.436450079046","274.436450079046","274.436450079046","0.00340985634760584","0.000732659475782202","0.520938070071234","15.2","0.133157877679194","0.23","0.714934383414051","2.87348962442305","0","0.00270199737115763","Duguid","equal","1","1","1","1","0.371186280676513","0.00522882292789018","0","0","12592","0.004","0.00632911392405063","7.13677103856165","0","0.383476491378461","0","0","3.79504905948636e-06","0.0115826655107958","0.179221527071945","0","2.27011076603389e-10","9.25621712610791e-09","2.82500046460132e-05","2.82594881421193e-05","2.82594881421193e-05"
