"ID","dt","DRk","Vts","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","Infsurfaces","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"49.5562855005264","4.06432796825119","26.64","0.537570557012733","24.2519798525049","3.0830607181415","0.05","30","14.1272572144109","36.7346268056799","9","0","0.612243780094665","551022.959009155","540.478453505784","resting-speaking","44.9650492425244","44.9650492425244","44.9650492425244","0.00388772144998389","0.000629735759416025","2.07645979288359","15.2","0.0502278481943287","0.0502278481943287","1.53567052751864","3.5529761391474","0","0.00597960794810206","Duguid","equal","1","1","1","1","0.0836001030028083","5.9367181315817","0","0","14127","0.004","0.00632911392405063","9427.31620812992","0","0.0865137301249115","0","0","0.00209031649092621","0.000889404941660101","180.946891264603","0","0.000721135600094014","5.09831990824772e-06","2.16927799268074e-06","0.000728408449986165","0.000728408449986165"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"50.2208905890584","4.09149078735605","26.64","0.530456542835663","24.0909744449639","2.70224195392802","0.05","40","8.73476418271114","38.7397436471214","6","0","0.64566239411869","116672.082080963","825.550604029559","resting-speaking","205.969861325188","205.969861325188","205.969861325188","0.00374829038274459","0.000721031153448109","1.44312221259287","15.2","0.110032865042945","0.110032865042945","6.62823797373308","0.166638302259827","0","0.00756236821203493","Duguid","equal","1","1","1","1","0.249553969817243","1.08496288767646","0","0","8734","0.004","0.00632911392405063","1504.73787781286","0","0.261646621134168","0","0","0.00256200521454514","0.00149425879680417","31.2392599504358","0","1.56164111645429e-05","6.24877368249344e-06","3.64452700940543e-06","2.55098891284733e-05","2.55098891284733e-05"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"49.0344114890322","4.04287074115379","26.64","0.543291928892809","24.3806953798057","2.92571164760739","0.05","30","8.91072236490034","34.1252862293534","5","0","0.568754770489224","2033501.43903198","680.674059549347","resting-speaking","18.7471935737406","18.7471935737406","18.7471935737406","0.00239860727091105","0.000811922917773529","1.19377025567926","15.2","0.137085657633165","0.137085657633165","2.30414838108964","1.48127155477533","0","0.0069550267609302","Duguid","equal","1","1","1","1","0.0285705428111012","15.283770697761","0","0","8910","0.004","0.00632911392405063","18824.1646629122","0","0.0295440424854134","0","0","0.000346935629936054","0.000143627876323393","370.021543571617","0","0.00199136251743226","8.46184105229852e-07","3.50311832097994e-07","0.00199256139632377","0.00199256139632377"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.2727302862331","4.01134766573667","26.64","0.551864372328603","24.5722904653537","3.30522673809901","0.05","40","9.12412474011189","35.366645530383","5","0","0.58944409217305","106354.906065413","994.735678075813","resting-speaking","30.7137477693504","30.7137477693504","30.7137477693504","0.00307998307302759","0.000759701133631012","1.26241861063795","15.2","0.168951834820795","0.168951834820795","2.36415140213284","0.170962651995043","0","0.00543809185619466","Duguid","equal","1","1","1","1","0.0309125762859262","0.564436408709668","0","0","9124","0.004","0.00632911392405063","742.97165519805","0","0.0315029784684164","0","0","0.000327696775796978","0.000214454276490026","20.4493505717075","0","4.66442030699898e-06","7.99260109318745e-07","5.230590741645e-07","5.98674607639688e-06","5.98674607639688e-06"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"51.6529010972008","4.14941365726134","26.64","0.515750314776486","23.7546815385613","3.3872676291503","0.05","30","4.41387186886196","35.3725109290472","3","0","0.589541848817454","8303745.67053658","539.77555828169","resting-speaking","79.3639455378784","79.3639455378784","79.3639455378784","0.00557732031759043","0.000721851180925646","1.66412240470332","15.2","0.028010106710491","0.028010106710491","1.11525243050822","4.65599491888683","0","0.00406348939123564","Duguid","equal","1","1","1","1","0.15371324008002","108.463418674687","0","0","4413","0.004","0.00632911392405063","150257.312782397","0","0.161059798767425","0","0","0.000636287011714644","0.00018545015982788","1031.84302946424","0","0.00448085185114577","1.55191833650647e-06","4.52317360677412e-07","0.0044828650682313","0.0044828650682313"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"49.2624184899032","4.05225938993311","26.64","0.540777347451184","24.3242079332012","2.91279325610958","0.05","40","16.5238263630137","32.7407374270334","9","0","0.545678957117223","1631911.74419419","821.899236761965","resting-speaking","55.962790554075","55.962790554075","55.962790554075","0.00246390471992839","0.000636429575661957","1.49591633458516","15.2","0.450813028429291","0.450813028429291","4.99258855972809","4.67564435790996","0.0605186703146653","0.00503460959531367","Duguid","equal","1","1","1","1","0.0687697419415375","11.4693021380392","0","0","16523","0.004","0.00632911392405063","18021.3217245755","0","0.0712805591102674","0","0.00969712626378355","0.00196197231969704","0.00127178001195855","621.896857092255","2.36512477774786e-05","0.00643155510386684","4.78528689118463e-06","3.10189765728719e-06","0.00646329635368296","0.00646329635368296"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.5253734225407","4.02183098528273","26.64","0.548991138471597","24.5082402419929","3.24473755154759","0.05","30","7.27712609606065","33.0605245630781","4","0","0.551008742717969","350717.335963762","719.026399077848","resting-speaking","47.2385862741753","47.2385862741753","47.2385862741753","0.00576081139462657","0.000743729695020303","1.22460917928269","15.2","0.115344321748478","0.115344321748478","2.66288469901276","4.6873812884382","0","0.00764771312521771","Duguid","equal","1","1","1","1","0.0658615075719703","2.74468734447379","0","0","7277","0.004","0.00632911392405063","3690.43667726467","0","0.0671697359401944","0","0","0.000571339580524599","0.000224023846521657","57.3376766387636","0","3.77189367067876e-05","1.39351020111977e-06","5.46399476331061e-07","3.96589203170107e-05","3.96589203170107e-05"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.9472820237279","4.03927724655983","26.64","0.544259025191345","24.4023853732616","2.97632694942877","0.05","30","11.2762260008616","36.5330107315822","7","0","0.608883512193037","795050.748828919","747.315115993842","resting-speaking","70.5963572282107","70.5963572282107","70.5963572282107","0.00382406685291583","0.0007381808925291","1.29831447808846","15.2","0.444487911168569","0.444487911168569","4.11798420204423","2.7734555173582","0","0.00219464481854811","Duguid","equal","1","1","1","1","0.0948825710815635","6.77482135143433","0","0","11276","0.004","0.00632911392405063","9177.72516194906","0","0.0978036044502342","0","0","0.00167041967114566","0.000688867117266421","227.882882358709","0","0.000333467917463803","4.07418602033083e-06","1.68016228918599e-06","0.000339224191511444","0.000339224191511444"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.9147028094158","4.03793275531824","26.64","0.544621524202984","24.4105105193194","2.79529028083198","0.05","30","5.53251841654705","32.1899207219452","3","0","0.536498678699086","1193.16938816241","500.796613399871","resting-speaking","148.113582048849","148.113582048849","148.113582048849","0.00392242206181614","0.000726705795200618","0.689972441625279","15.2","0.145193202768858","0.145193202768858","3.28842806208975","2.19366818868586","0.18074951129112","0.00352873027208261","Duguid","equal","1","1","1","1","0.295756792787947","0.0120155072447716","0","0","5532","0.004","0.00632911392405063","16.5342114018157","0","0.305685385444281","0","1.38194673642462e-06","0.00172212188400056","0.000619248799122311","0.132862208679697","3.37060179766979e-09","8.43778380499316e-11","4.20028845682374e-06","1.51036178408503e-06","5.71411155591515e-06","5.71411155591515e-06"
"Hospital (single patient)",0.001,410,0.000285,3,3.7,48,52,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,30,40,35,1,1,1,1,1,1,10000,"Chen",0,3,3.47,7.01,4,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.3766032420099","4.01566114282608","26.64","0.550679423826641","24.5458958050009","3.03052215091884","0.05","30","13.5081569478274","36.0408961583342","8","0","0.600681602638904","4456391.18346058","809.374787611887","resting-speaking","209.546529273556","209.546529273556","209.546529273556","0.00393443417295701","0.000723123303420968","0.476094518948318","15.2","0.0354888121336732","0.0354888121336732","4.97348177134968","2.94361568366202","0","0.0033826854203362","Duguid","equal","1","1","1","1","0.260890701123866","28.5861172966087","0","0","13508","0.004","0.00632911392405063","39531.456338598","0","0.267157528771359","0","0","0.0061241181940242","0.00268397023446718","1247.23160425432","0","0.0189230876556603","1.49367620894125e-05","6.54624743778864e-06","0.0189449772896899","0.0189449772896899"
