"ID","dt","DRk","Vts","gflow","gfhigh","SpeakontoSurf","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","InfsurfacesNF","InfsurfacesFF","Infnonsilenttime","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","TRANSskin.abs","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.7781427502632","3.99074524160852","3","0.0627902180225177","2.78143537810146","3.0830607181415","0.05","30","14.1272572144109","36.7346268056799","9","0","0.612243780094665","551022.959009155","130","resting-speaking","411.963735460513","411.963735460513","411.963735460513","0.00303198941736749","0.000738006862080243","0.462525515686954","15.2","0.551892963694927","0.36","4.20951798252363","0.716117640597618","0","0.0637463005173486","Duguid","equal","1","1","1","1","3.17063993863409","26.150899304627","0","0","14127","0.004","0.00632911392405063","35434.4934285768","0","3.22784618755403","0","0","0.694112041260978","0.0171538047238923","191.744707400967","0","0.007898659067615","0.00169152395620797","4.18376728872349e-05","0.00964578325766884","0.00964578325766884"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.086934491992","3.96177294032154","3","0.0637119411651274","2.80177591376529","3.11578920274042","0.05","40","7.24504580491476","36.3906533699227","4","0","0.606510889498711","168882016.849877","130","resting-speaking","1078.18035529278","1078.18035529278","1078.18035529278","0.00580256546874827","0.000685936246627588","1.3724690450888","15.2","0.653048580756555","0.36","4.10689631978747","0.271245318802049","0","0.0773761966163293","Duguid","equal","1","1","1","1","8.73365276496083","7344.37763863036","0","0","7245","0.004","0.00632911392405063","10707084.9145807","0","8.80067867893256","0","0","0.569989399309731","0.0193003668946634","27613.6053805829","0","0.18549375","0.00138925214164587","4.70729576302897e-05","0.187196581954955","0.187196581954955"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.2943692123517","3.97048986114441","3","0.063432498412866","2.79562481915031","2.86737265740521","0.05","40","14.2100618208423","32.6132145148432","8","0","0.543553575247387","4951774.72279723","130","resting-speaking","661.469443254351","661.469443254351","661.469443254351","0.00349305064867324","0.000637320847071957","1.29114767489823","15.2","0.601871410670037","0.36","3.43478426280886","1.74858729934554","0","0.0415503054838628","Duguid","equal","1","1","1","1","5.10155780790175","226.768331925736","0","0","14210","0.004","0.00632911392405063","355815.023104262","0","5.18513879647093","0","0","0.987638999366197","0.0379107115332031","1672.57433240972","0","0.207305478828711","0.00240597659561648","9.24608753107847e-05","0.210322124651482","0.210322124651482"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.9530763356015","3.99804436925528","3","0.0625611583082675","2.77635738246387","3.13356806128286","0.05","40","15.9194426935564","32.1949228433255","9","0","0.536582047388757","354387.736046736","130","resting-speaking","2474.62829646069","2474.62829646069","2474.62829646069","0.00256699870118832","0.000733659181804596","1.32421011112502","15.2","0.615168747364053","0.36","1.17044941626111","4.02664743985903","0.0628162693411849","0.030538478649687","Duguid","equal","1","1","1","1","19.036569872796","13.9293107697075","0","0","15919","0.004","0.00632911392405063","18986.0784341924","0","19.4060851952817","0","0.0208753600185857","4.28191585533127","0.16927163550744","115.049134420483","5.09142160677323e-05","0.00162648899785811","0.0103893511582074","0.00041277243358806","0.0125009677280086","0.0125009677280086"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.7710961163975","3.99045094011514","3","0.0627994801017397","2.7816405129591","2.72553447471","0.05","30","10.5332451047264","34.2468517337785","6","0","0.570780862229642","7677375.40505897","130","resting-speaking","1585.76678852212","1585.76678852212","1585.76678852212","0.00264157607947296","0.000720906790926837","1.05545476048286","15.2","0.138632957255637","0.36","4.92897784528199","1.3992212848742","0","0.0799642670853064","Duguid","equal","1","1","1","1","12.2198536979113","345.511780611823","0","0","10533","0.004","0.00632911392405063","479273.860310865","0","12.5203859167203","0","0","1.75066766432994","0.0394063635388932","1889.00260134973","0","0.235691281189742","0.00426081798046252","9.61084630879405e-05","0.241075603225227","0.241075603225227"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.489360769745","3.97866647549758","3","0.0631720442510414","2.78987949061798","2.55834190594032","0.05","40","12.1443023113715","34.7997176226969","7","0","0.579995293711615","97238987.5497278","130","resting-speaking","260.123959257559","260.123959257559","260.123959257559","0.00497767711957631","0.000794149560269378","0.681088826438841","15.2","0.379896886422221","0.36","1.49017101054986","1.96838422974744","0","0.0360098461052403","Duguid","equal","1","1","1","1","2.26835215599862","4404.28696023222","0","0","12144","0.004","0.00632911392405063","5545916.26133782","0","2.31867505541122","0","0","0.349659698360163","0.0127927398858485","27757.9239606479","0","0.30166270390625","0.000852464977690093","3.1201317828411e-05","0.30281297398749","0.30281297398749"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.172678721603","3.96537844858903","3","0.0635961340610944","2.79922840755581","2.96023133862764","0.05","40","11.7705402091209","33.7448576317509","7","0","0.562414293862514","2215791.54401875","130","resting-speaking","431.751285099166","431.751285099166","431.751285099166","0.00283325093560153","0.00073469871492371","0.577801580307839","15.2","0.673940228038259","0.36","5.75693101424742","1.00940519123325","0","0.0616824511643499","Duguid","equal","1","1","1","1","3.32760496667486","94.8149766710523","0","0","11770","0.004","0.00632911392405063","129052.868536592","0","3.37495021378882","0","0","0.475147006910516","0.0177110963105955","579.107944533474","0","0.0546325171903129","0.00115822387916631","4.31968628681334e-05","0.0558996273366818","0.0558996273366818"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.0959680327214","3.96215295147817","3","0.0636997204923286","2.80150719468286","3.15965342451818","0.05","40","7.11041102011762","33.6674230997949","4","0","0.561123718329915","1277354.42215488","130","resting-speaking","5740.21732139307","5740.21732139307","5740.21732139307","0.00569838681543445","0.000687934900144746","1.70555307100001","15.2","0.0920782381135233","0.36","1.5398897025414","0.250426248255096","0","0.0536110623620916","Duguid","equal","1","1","1","1","44.1588603630273","60.8382751020017","0","0","7110","0.004","0.00632911392405063","88436.0934286092","0","44.4736812986861","0","0","2.76791018486104","0.0984863778471235","224.535967384564","0","0.00386490356717728","0.00672826364151202","0.000240181829400998","0.0108619036602286","0.0108619036602286"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.6499499669299","3.98538789274561","3","0.062959142708063","2.78517431645857","2.52971739624627","0.05","40","7.28562463366985","36.1470458486391","4","0","0.602450764143984","1524.20254422703","130","resting-speaking","627.830675385999","627.830675385999","627.830675385999","0.00286294412488766","0.000678829816977995","1.0076239994779","15.2","0.15915028322645","0.36","0.76567215400389","1.00910431370178","0","0.0367826911911834","Duguid","equal","1","1","1","1","4.82947074074489","0.0779196373901324","0","0","7285","0.004","0.00632911392405063","114.7852310569","0","4.9577064089624","0","0","0.331486355820686","0.0110674963622163","0.294687139876361","0","4.4217616235187e-09","0.000808176556146734","2.69935292345203e-05","0.000835196326373392","0.000835196326373392"
"Hospital (single patient)",0.001,410,0.000285,130,130,"N",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,1,1,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.36,0,411,124,0,360,25,0.44,0.52,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.2666365555488","4.01109447057154","3","0.0621547349077739","2.76732449994337","2.94706643745303","0.05","40","11.6518390828024","36.1052164958287","7","0","0.601753608263811","6178.86023928531","130","resting-speaking","705.200511319723","705.200511319723","705.200511319723","0.00295688245610394","0.000679023781826106","1.4379476805695","15.2","0.149700805750969","0.36","4.50458873180572","3.30207157181682","0","0.0386443084196653","Duguid","equal","1","1","1","1","5.42463685345025","0.300814260444019","0","0","11651","0.004","0.00632911392405063","443.00990406409","0","5.56244805953748","0","0","0.7717630941676","0.0277744872939559","1.81946554548964","0","3.09720051605566e-07","0.00188057850234558","6.77403574548263e-05","0.00194875657438485","0.00194875657438485"
