"ID","dt","DRk","Vts","gflow","gfhigh","SpeakontoSurf","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","InfsurfacesNF","InfsurfacesFF","Infnonsilenttime","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","TRANSskin.abs","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.778142750263","6.34688592934328","11","0.0992975665316781","6.412593585751","3.4332242872566","0.0125","10","122.285513217384","1","2","0","0.0166666666666667","551022.959009155","130","resting-speaking","411.963735460513","411.963735460513","411.963735460513","0.00303198941736749","0.000738006862080243","0.462525515686954","15.2","0.551892963694927","0.23","9.76712763715395","2.33975725007263","0.0735982518550737","0.0348665515852626","Duguid","equal","1","1","1","1","3.16899601952346","1.76490525177804","0","0","122285","0.004","0.00632911392405063","2391.44829467201","0","4.92255051505209","0","0.0550881232935649","4.81904312526807","0.0498771724022059","45.3205769805711","0.000134352250253711","1.25566642595887e-05","0.0116849580782934","0.000121644240744678","0.011953529251461","0.011953529251461"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.99708756106","6.35315490877806","11","0.0991016993481822","6.4062659551659","3.4620353798382","0.0125","10","119.887596083157","1","2","0","0.0166666666666667","8264.92927957029","130","resting-speaking","1688.3800428598","1688.3800428598","1688.3800428598","0.00340581827198616","0.000842840472943044","1.00207256673951","15.2","0.187789338451215","0.23","11.014238398696","4.50957152591189","0","0.0791543210116215","Duguid","equal","1","1","1","1","12.9875394808475","0.0248344076499864","0","0","119887","0.004","0.00632911392405063","29.4651342065589","0","20.1654577291621","0","0","18.9850434808075","0.207972829932532","0.632930198053264","0","6.403392038834e-09","0.0452492660098952","0.000507122174774222","0.0457793417873904","0.0457793417873904"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"111.430220730603","6.36553848984308","11","0.0987164875729175","6.39380314249004","3.51170957842842","0.0125","30","116.556768268236","1","2","0","0.0166666666666667","167846.44574687","130","resting-speaking","1037.68418839782","1037.68418839782","1037.68418839782","0.00292895474789207","0.000777914946296079","1.68114351758779","15.2","0.0720323354363881","0.23","8.67298292952883","2.30301984933025","0","0.064392402049154","Duguid","equal","1","1","1","1","7.98219987907674","0.530657569385281","0","0","116556","0.004","0.00632911392405063","682.153713477192","0","12.4088877864443","0","0","8.78378024012597","0.366030871769814","12.3053223144271","0","2.06769137889307e-06","0.0211959935975813","0.000892359833769896","0.0221093812870606","0.0221093812870606"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"111.034584197681","6.35422791812825","11","0.0990682324744519","6.40518415839086","3.40643126498908","0.0125","10","118.552418819305","1","2","0","0.0166666666666667","2566942.69489882","130","resting-speaking","4469.67036355332","4469.67036355332","4469.67036355332","0.00569269106841389","0.000851372814055116","1.89824876582822","15.2","0.0240042116265557","0.23","7.11905244782443","3.27842548933521","0.0168701745600683","0.00777707855543122","Duguid","equal","1","1","1","1","34.382287113322","8.82536058453569","0","0","118552","0.004","0.00632911392405063","10366.0352302069","0","53.2802279029466","0","0.00100360997148405","48.9013517546621","0.519417913658666","187.155961154537","2.44782620284489e-06","5.9598825277396e-05","0.112433285904143","0.00126607081536878","0.113910265097727","0.113910265097727"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.608341648243","6.34201980009648","11","0.0994500038250478","6.41751386512241","3.55950341233984","0.0125","30","120.192089681943","1","2","0","0.0166666666666667","1323526.2280661","130","resting-speaking","647.036884555501","647.036884555501","647.036884555501","0.00400958122500068","0.000747932020476068","0.83362330550763","15.2","0.762232967906728","0.23","8.59068986247493","5.35352442944688","0.183040332007017","0.0599456874630414","Duguid","equal","1","1","1","1","4.97731679549154","5.15587565130966","0","0","120192","0.004","0.00632911392405063","6893.50838065186","0","7.68933244786563","0","0.515411906166206","5.53874322631582","0.23208897763668","113.196183664016","0.00125631238817503","0.00014113991894571","0.0134182910370819","0.000565910489384147","0.0153752649151334","0.0153752649151334"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.52774178097","6.33970867644334","11","0.0995225255013207","6.41985335244666","3.37071765474975","0.0125","30","123.19351535259","1","2","0","0.0166666666666667","1501.71346788882","130","resting-speaking","426.101384381657","426.101384381657","426.101384381657","0.00360862228344532","0.000744573175950834","1.24491547264002","15.2","0.228131512341019","0.23","6.84302350404097","4.5070760414892","0.0162346207450598","0.0719173741582781","Duguid","equal","1","1","1","1","3.27770307584188","0.00678161738791003","0","0","123193","0.004","0.00632911392405063","9.10806030481796","0","5.08985991983065","0","4.92672501289074e-05","3.93031635438441","0.165598297344117","0.117040306047152","1.20164017514135e-07","1.8250778666129e-10","0.00954033690107003","0.000403816730272788","0.00994812542991879","0.00994812542991879"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.912564293481","6.35073551340835","11","0.0991772218960994","6.40870650558031","3.46629301421344","0.0125","10","117.694964144489","1","2","0","0.0166666666666667","251.808944393952","130","resting-speaking","833.613031601405","833.613031601405","833.613031601405","0.00419166665097804","0.000685339807939895","0.407135790280516","15.2","0.0847462872132426","0.23","6.52938999103528","3.23579483386418","0.00849654024935462","0.0960663771624677","Duguid","equal","1","1","1","1","6.4124079562494","0.00123182215723879","0","0","117694","0.004","0.00632911392405063","1.79738889083592","0","9.93974628597321","0","1.36140966086676e-05","9.07423980805208","0.0979897497775863","0.0219836460516729","3.32051131035627e-08","8.04467603643388e-12","0.0218891699562271","0.000238970831622498","0.0221334041556098","0.0221334041556098"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.026043435559","6.32530397215843","11","0.0999763297536243","6.43447337537388","3.46833203854039","0.0125","20","123.204587249872","1","2","0","0.0166666666666667","3920565.89752111","130","resting-speaking","3071.94097825432","3071.94097825432","3071.94097825432","0.00225538214486882","0.000725189556461536","1.69493623382577","15.2","0.192020700697553","0.23","7.71650948598189","2.69080693082005","0.00811658090272154","0.00547505199024454","Duguid","equal","1","1","1","1","23.6306235631958","16.3613779463053","0","0","123204","0.004","0.00632911392405063","22561.5189856545","0","36.6041334073989","0","0.00402404995356257","32.3048601527623","0.785255326411235","306.692692443587","9.81470781968863e-06","0.000102873136864634","0.0757681711961815","0.00191342395956817","0.0779465435462391","0.0779465435462391"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"111.577095174231","6.36973226707887","11","0.0985865421825439","6.3895935171958","3.34448526091874","0.0125","30","116.279513253411","1","2","0","0.0166666666666667","1591.7372899519","130","resting-speaking","1356.06173474394","1356.06173474394","1356.06173474394","0.00326058286974502","0.000753912034207697","1.38924034834051","15.2","0.109233948294885","0.23","8.28497734305876","4.46997394340118","0.042999835999514","0.0043187809032388","Duguid","equal","1","1","1","1","10.4312442452819","0.00731225256958991","0","0","116279","0.004","0.00632911392405063","9.69907925302521","0","16.287980806655","0","6.46558924391707e-06","11.8918434379102","0.489251616190209","0.145082643687282","1.57697297442638e-08","1.43665079832545e-11","0.0285879031965939","0.00119258492955276","0.0298145969817119","0.0298145969817119"
"1cough_0.0125",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,1,1,1,1,1,1,1,1,18000,4500,0.166666667,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,10,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0125,1,"110.932334321551","6.35130149358241","11","0.0991595468289268","6.40813540990375","3.28823343273252","0.0125","20","118.719450135462","1","2","0","0.0166666666666667","58267033.4957037","130","resting-speaking","1412.75223301434","1412.75223301434","1412.75223301434","0.00211843518045882","0.00070435701497483","0.465913975675105","15.2","0.272507551616963","0.23","8.41892388138973","5.59434704743741","0.0589625372423207","0.0433683976014145","Duguid","equal","1","1","1","1","10.8720133504314","189.206542987013","0","0","118719","0.004","0.00632911392405063","268623.068932982","0","16.9865912915395","0","4.73877078872347","14.7998235351886","0.366063902639499","3950.70053148896","0.0114914407015866","0.0247763911288233","0.0354533980317013","0.000892440324972155","0.0734448769341607","0.0734448769341607"
