"ID","dt","DRk","Vts","gflow","gfhigh","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","Infsurfaces","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Office_MR_listening",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,90,100,95,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.54,8.58,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.778142750263","6.34688592934328","11","0.0992975665316781","6.412593585751","3.4332242872566","0.05","0","97.2855132173844","3.69385072227196","6","0","0.0615641787045327","99056.352135611","130","resting-breathing","7.54537901394877","7.54537901394877","7.54537901394877","0.00303198941736749","0.000738006862080243","0.462525515686954","15.2","0.551892963694927","0.551892963694927","4.20951798252363","0.716117640597618","0.0925112044163195","0.00407877741684206","Duguid","equal","1","1","1","1","0.0580707286679867","0.467188577587367","0","0","97285","0.004","0.00632911392405063","633.040966950481","0","0.0901158331330996","0","0.0017946967816371","0.0742437761736015","0","23.5924196379246","4.37729964308797e-06","4.83725767297383e-06","0.000181065986486484","0","0.00019028064826326","0.000951403241316301"
"Office_MR_speaking",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.54,8.58,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.435999614187","6.36570354932477","11","0.0987113683018429","6.39363735440007","3.37982075698674","0.05","20","21.8795794741163","4.5392467838878","2","0","0.0756541130647966","1083.7693527994","130","resting-speaking","8.01226052511239","8.01226052511239","8.01226052511239","0.0065360519605961","0.000744701338742684","1.14806647917082","15.2","0.0806224051205195","0.0806224051205195","4.84206209297005","3.76920109580982","0.182818870204157","0.00771170459734276","Duguid","equal","1","1","1","1","0.0616332367929672","0.00751952855643734","0","0","21879","0.004","0.00632911392405063","10.0973748336923","0","0.0955132521871733","0","8.55577115564868e-07","0.00877053039842824","0.000186174551568906","0.0853770098320611","2.0867734207286e-09","4.59416948928038e-11","2.13913087598883e-05","4.54084169043689e-07","2.18475353148147e-05","0.000109237676574074"
"Office_MR_singing",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.54,8.58,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.918755610008","6.35091276503573","11","0.0991716859741574","6.408527640951","3.52178085371852","0.05","30","23.5101525973493","1.86755012649949","1","0","0.0311258354416581","28483689.5281085","130","singing","12.5240582181011","12.5240582181011","12.5240582181011","0.00398731450848437","0.000744637265260028","1.10056319734475","15.2","0.430369700197902","0.430369700197902","4.5145713119703","3.81062267853253","0","0.00280460752127692","Duguid","equal","1","1","1","1","0.102328918336777","98.9351028348866","0","0","23510","0.004","0.00632911392405063","132863.485955593","0","0.158290917423236","0","0","0.0140730136900813","0.000532198301853686","1206.88158313194","0","0.00173331769444529","3.43238345580366e-05","1.29804379622733e-06","0.00176900136146268","0.00884500680731341"
"Office_MR_singing_morefacetouches",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,80,30,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.234702212736","6.33129893933123","11","0.0997870886317785","6.42838071460564","3.30875533903018","0.05","30","23.2241332412739","3.17486655542719","1","0","0.0529144425904532","9853.64958172143","130","singing","33.4313734178016","33.4313734178016","33.4313734178016","0.00414823676724462","0.000781541165689821","1.36700971334798","15.2","0.13320227740435","0.13320227740435","0.75924853752143","3.20412154832319","0.990349123519687","0.00243429644522257","Duguid","equal","1","1","1","1","0.257166373020724","0.03391096560935","0","0","23224","0.004","0.00632911392405063","43.3898649208309","0","0.398779425110483","0","2.29345303181756e-06","0.0351164777801086","0.00138291505049086","0.408809538006441","5.59378787734488e-09","1.42408640435576e-10","8.56462779532663e-05","3.37295784935687e-06","8.90252604328865e-05","0.000445126302164433"
"Office_MR_singing3_moreface_moresurfacetouches",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,80,30,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.122432281729","6.32807402214288","11","0.0998888216694891","6.43165675015567","3.43041960941628","0.05","10","18.9456431207833","3.65300633506257","1","0","0.0608834389177096","99668516.3669295","130","singing","17.0526600297394","17.0526600297394","17.0526600297394","0.00329565366921044","0.000693442980785992","1.29682230590469","15.2","0.734771049610296","0.734771049610296","1.82655913217895","9.57607377864246","1.26678201668816","0.00941816860926338","Duguid","equal","1","1","1","1","0.158135971488989","396.520195576414","0","0","18945","0.004","0.00632911392405063","571813.698549479","0","0.244656962244501","0","5.05214418073375","0.0205102970134502","0.000202486647881553","3898.78237556748","0.0122466941821018","0.0336659546064165","5.00238634317807e-05","4.93869750872733e-07","0.0463765781752625","0.231882890876313"
"Office_MR_singing3_moreface_moresurfacetouches_highpropdepositface",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,80,30,0.01,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.572790904902","6.34100052056318","11","0.0994819784322939","6.41854544373783","3.56622981876135","0.05","20","20.6206258911871","2.69679023243791","1","0","0.0449465038739652","453122.496018281","130","singing","18.7244652977959","18.7244652977959","18.7244652977959","0.00374514140977154","0.000644487876701525","1.05866340974521","15.2","0.0827926147086244","0.0827926147086244","5.22943140664554","2.94296368518195","0.775922131773804","0.0230087823490612","Duguid","equal","1","1","1","1","0.144134506299875","1.98152984496319","0","0","20620","0.004","0.00632911392405063","3074.5804794725","0","0.222473003353923","0","0.00358887834443369","0.0186022594410918","0.000408615031444535","21.2099636319815","8.75332350513958e-06","3.62635300266145e-06","4.53703352256696e-05","9.96621531301756e-07","5.87464899519797e-05","0.000293732449759898"
"Office_MR_singing3_moreface_moresurfacetouches_highpropdepositface_moreviralemm",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,8,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,80,30,0.01,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.256825637072","6.33193423376724","11","0.0997670659974216","6.42773574351943","3.55109356502071","0.05","30","19.3666849896991","3.56235635544791","1","0","0.0593726059241319","220875.24998498","130","singing","3447.79728743964","3447.79728743964","3447.79728743964","0.00321597073629374","0.000733743578671292","1.74281321764867","15.2","0.314516116921466","0.314516116921466","8.53960219951259","7.47512158209492","0.92943113442357","0.0799708386021666","Duguid","equal","1","1","1","1","26.5215681319248","0.688869376310589","0","0","19366","0.004","0.00632911392405063","938.842119147449","0","40.9326674080191","0","0.0298201020477921","2.73844080301225","0.104460231166868","6.92151940523383","7.27293113095273e-05","1.74840537814358e-06","0.00665686813893529","0.000254748597690702","0.00698733699804016","0.0349366849902008"
"Office_MR_singing3_moreface_moresurfacetouches_highestpropdepositface_moreviralemm",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,8,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,80,30,0.01,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.025925950147","6.32530059508916","11","0.0999764365081018","6.43447681073033","3.38393023414537","0.05","10","20.1020344350466","4.646408521244","2","0","0.0774401420207333","1213.91155302479","130","singing","2224.18847460986","2224.18847460986","2224.18847460986","0.00370727273628411","0.000786854374171283","1.77836780320528","15.2","0.594645818674581","0.594645818674581","9.31253751405975","10.5762883397988","1.49238626055167","0.0301694729900919","Duguid","equal","1","1","1","1","17.1091427082368","0.00700797832203148","0","0","20102","0.004","0.00632911392405063","8.90632187107341","0","26.4744071267228","0","0.000550114558145392","2.41398809697566","0.0255095614136715","0.0730475030859326","1.34174192456538e-06","1.8160517534227e-10","0.00587047686157349","6.22165069452674e-05","0.00593439274099428","0.0296719637049714"
"Office_MR_speaking_moresurfacetouches_highestpropdepositface_moreviralemm",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,8,0.7,10,10,5.2,0,30,15,25,20,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.01,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.991156690754","6.38154032961134","11","0.0982220411418267","6.37777055347369","3.38253039969131","0.05","10","20.1736945071302","2.57387575431099","1","0","0.0428979292385164","7154.58807882672","130","resting-speaking","3233.71791377704","3233.71791377704","3233.71791377704","0.00228879024793272","0.000770567443068885","1.33146263360987","15.2","0.0474355357948705","0.0474355357948705","2.27226640748032","6.45772510140536","1.28880706460637","0.0145751029043458","Duguid","equal","1","1","1","1","24.8747548708586","0.0317140496329482","0","0","20173","0.004","0.00632911392405063","41.1567474310138","0","38.8890268926401","0","8.15493101893251e-06","3.57483614381039","0.0354496848343999","0.332087130581479","1.98900754755371e-08","5.8012783465955e-10","0.00868121131909705","8.64589081507328e-05","0.00876844109965464","0.0438422054982732"
"Office_MR_listening",0.001,410,0.000285,130,130,2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,5,3,1,1,1,1,1,1,38400,"Chen",0,8.671451,3.47,6.1,3,0.7,10,10,5.2,0,30,90,100,95,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,411,124,0,360,25,0.54,8.58,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.65061506955","6.34323161314625","11","0.0994120095318579","6.41628786116683","3.59600566560403","0.05","20","97.561356567582","2.28260945387069","4","0","0.0380434908978448","266626908.741065","130","resting-breathing","37.8913184770412","37.8913184770412","37.8913184770412","0.00292923790608832","0.00079651902769501","1.48610843544577","15.2","0.0640317636016699","0.0640317636016699","0.739645630037731","2.61976225801364","0.0717497198304229","0.00234175393101759","Duguid","equal","1","1","1","1","0.344350252159518","882.580833224347","0","0","97561","0.004","0.00632911392405063","1108047.39439607","0","0.531939577764992","0","0.00480705603981543","0.345406174024693","0.00824130640357303","44690.4371186576","1.17244581944176e-05","0.18549375","0.000842099318177469","2.01005453071001e-05","0.186529794125563","0.932648970627815"
