"ID","dt","DRk","Vts","gflow","gfhigh","SpeakontoSurf","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","InfsurfacesNF","InfsurfacesFF","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.778142750263","6.34688592934328","11","0.0992975665316781","6.412593585751","3.4332242872566","0.05","0","122.285513217384","0","0","0","0","551022.959009155","130","resting-speaking","411.963735460513","411.963735460513","411.963735460513","0.00303198941736749","0.000738006862080243","0.462525515686954","15.2","0.551892963694927","0.551892963694927","8.41903596504726","1.23688113567737","0.0735982518550737","0.0348665515852626","Duguid","equal","1","1","1","1","3.16895181123472","0.185499331150341","0","0","122285","0.004","0.00632911392405063","251.351770127812","0","4.92200976708721","0","0.012801654685512","5.31571779719973","0","0","3.12230605635788e-05","0","0.0128814796593589","0","0.012912300520703","0.0645615026035148"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.724292536266","6.34534310373338","11","0.0993458594137967","6.41415276284328","3.30943926265463","0.05","20","117.499906628512","0","0","0","0","23087.0027367951","130","resting-speaking","1283.11271337673","1283.11271337673","1283.11271337673","0.00251180798533989","0.000680240231561459","1.23366715204368","15.2","0.616371277160455","0.616371277160455","7.54528928162193","6.47718376875492","0","0.0147451298416127","Duguid","equal","1","1","1","1","9.8700977952056","0.00755944450909376","0","0","117499","0.004","0.00632911392405063","11.112904174664","0","15.3885654591424","0","0","13.1124171994176","0.326799522364359","0","0","0","0.0314755055788822","0.00079675442825855","0.0322973382555924","0.161486691277962"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.087434981484","6.327068400035","11","0.0999205767838095","6.43267899550048","3.40605216212571","0.05","20","119.599277585357","0","0","0","0","104133275.47737","130","resting-speaking","785.452897622212","785.452897622212","785.452897622212","0.00266905703347","0.000635443615842392","1.14323847534445","15.2","0.0746848871272534","0.0746848871272534","3.92077059168994","1.13453208965429","0","0.0575994496275671","Duguid","equal","1","1","1","1","6.0419453663247","52.611915889719","0","0","119599","0.004","0.00632911392405063","82795.5692339007","0","9.36958091492495","0","0","8.03146129990887","0.198549150128492","0","0","0","0.0193983135967688","0.000484148981865329","0.0198918542524119","0.0994592712620596"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.333231473342","6.36276759318235","11","0.0988024856049734","6.39658755470021","3.21384212085977","0.05","20","119.723917865571","0","0","0","0","1350389.35563259","130","resting-speaking","428.511265115111","428.511265115111","428.511265115111","0.00638500451827254","0.000786504464353473","1.21712216107695","15.2","0.0182725991400565","0.0182725991400565","3.06830438676013","7.59180200306232","0.0501152994904238","0.0605406519591343","Duguid","equal","1","1","1","1","3.29624050088547","0.426027007625207","0","0","119723","0.004","0.00632911392405063","541.671442355273","0","5.1337602776244","0","4.08560299154641e-05","4.35209217715915","0.106379196089499","0","9.96488485061064e-08","0","0.0105587201639659","0.000259427796664768","0.0108209858089472","0.0541049290447361"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.644720948767","6.37166229056485","11","0.0985268260471342","6.38765806220906","3.20748177897185","0.05","20","120.999298497266","0","0","0","0","335365.281727923","130","resting-speaking","1553.73476926864","1553.73476926864","1553.73476926864","0.0042527473399255","0.000748135979855343","1.35637770992177","15.2","0.0710033465736797","0.0710033465736797","5.940091057421","5.55758165470056","0","0.0330971684840042","Duguid","equal","1","1","1","1","11.9518059174511","0.123807202778745","0","0","120999","0.004","0.00632911392405063","165.487566582059","0","18.7033472879171","0","0","16.4494209958584","0.401755174533282","0","0","0","0.0393263664799226","0.000979410733505603","0.0403442938788684","0.201721469394342"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.716878924053","6.34513067202798","11","0.0993525116215163","6.41436750537271","3.36770246848464","0.05","20","121.080131404728","0","0","0","0","176696610.599497","130","resting-speaking","1855.17350964997","1855.17350964997","1855.17350964997","0.00368487359650998","0.000728310647799648","1.47208017366285","15.2","0.237415011112345","0.237415011112345","5.75686807110171","0.212832661708568","0.0165179866985337","0.0208951974376105","Duguid","equal","1","1","1","1","14.2705654588459","67.5460131691455","0","0","121080","0.004","0.00632911392405063","92743.410209934","0","22.1745732755082","0","0.12574706056126","19.0784887262757","0.469645073254395","0","0.000306653120027978","0","0.0454668434501974","0.00114481998146199","0.0469567923774896","0.234783961887448"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.718445512","6.37376570616548","11","0.0984618068179118","6.38555006197201","3.2208962354809","0.05","10","118.875904061429","0","0","0","0","230605454.718032","130","resting-speaking","1979.72449779294","1979.72449779294","1979.72449779294","0.0027407430116435","0.00067855287150464","0.84411938880941","15.2","0.0499104240726844","0.0499104240726844","3.38068849505017","4.20616518343498","0.00841213371116193","0.0901924980201293","Duguid","equal","1","1","1","1","15.2286499830226","85.6437323329396","0","0","118875","0.004","0.00632911392405063","126215.267710873","0","23.8866114317637","0","0.0275881756585514","23.4815210811514","0.252388041607043","0","6.72859695111105e-05","0","0.0556628277712629","0.000615391158426459","0.0563760576959636","0.281880288479818"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.277150554582","6.33251782625586","11","0.099748678168425","6.42714337593332","3.54420359367505","0.05","30","121.790164494883","0","0","0","0","3320852.86478817","130","resting-speaking","524.690432079555","524.690432079555","524.690432079555","0.00379212707934001","0.00071976660747104","0.597556004573075","15.2","0.0348449053567169","0.0348449053567169","8.36796768440559","4.69657373264253","0","0.0224941901224665","Duguid","equal","1","1","1","1","4.03608024676581","1.74715599359531","0","0","121790","0.004","0.00632911392405063","2427.39240117583","0","6.23074770086519","0","0","4.60916044302954","0.190643073379035","0","0","0","0.0111789012157321","0.000464875017911814","0.0116489730255468","0.0582448651277339"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.398001628462","6.36461815260992","11","0.0987450388624341","6.3947276999344","3.24944258378819","0.05","0","117.889732774082","0","0","0","0","8671440.444006","130","resting-speaking","2672.13807264332","2672.13807264332","2672.13807264332","0.00322642931398573","0.00076213998211361","1.29826767240875","15.2","0.264209837385341","0.264209837385341","2.5425878300413","1.57880008444507","0","0.0924681221100036","Duguid","equal","1","1","1","1","20.5549082511025","4.1521544274231","0","0","117889","0.004","0.00632911392405063","5448.02073748724","0","32.1503648745452","0","0","34.3725617565535","0","0","0","0","0.0804175001767125","0","0.0804175001767125","0.402087500883562"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",0,0,0,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.721595845651","6.37385557201949","11","0.0984590303847527","6.38546003123579","3.20464210230857","0.05","0","124.183907492704","0","0","0","0","15589939.8180047","130","resting-speaking","1066.38059046661","1066.38059046661","1066.38059046661","0.0041301099723065","0.000755716480238102","0.854878554351954","15.2","0.247720401650563","0.247720401650563","10.8771179824168","3.36159041832514","0.0161051463138853","0.0851204039701261","Duguid","equal","1","1","1","1","8.20292761897394","8.48327066575426","0","0","124183","0.004","0.00632911392405063","11225.4673380703","0","12.8441793497732","0","0.115579776759716","14.523746053648","0","0","0.000281862163930335","0","0.0348036924922636","0","0.0350757448121153","0.175378724060576"
