"ID","dt","DRk","Vts","gflow","gfhigh","SpeakontoSurf","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","InfsurfacesNF","InfsurfacesFF","Infnonsilenttime","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","TRANSskin.abs","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.7781427502632","3.99074524160852","26.64","0.557577136039957","24.699146157541","3.0830607181415","0.05","30","14.1272572144109","36.7346268056799","9","0","0.612243780094665","551022.959009155","130","resting-speaking","411.963735460513","411.963735460513","411.963735460513","0.00303198941736749","0.000738006862080243","0.462525515686954","15.2","0.551892963694927","0.23","4.20951798252363","0.716117640597618","0","0.00670420913794078","Duguid","equal","1","1","1","1","3.17063993863409","26.456616741278","0","0","14127","0.004","0.00632911392405063","35848.7408459915","0","3.22784618755403","0","0","0.0791584519004223","0.0367010673845951","191.744707400967","0","0.000839964245500813","0.000193050758182878","8.95107921690119e-05","0.00112278043209313","0.00112278043209313"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.8018395123072","4.03327160471939","26.64","0.545881062398923","24.4387211326567","3.44329118146561","0.05","30","6.65653656306252","35.8911525914627","4","0","0.598185876524379","12332806.2262599","130","resting-speaking","688.187795715014","688.187795715014","688.187795715014","0.00243876499033642","0.000828498556533011","0.208475054468519","15.2","0.714156634786257","0.23","5.05982757174179","3.04601335762836","0","0.00357275995053351","Duguid","equal","1","1","1","1","5.32957842970318","688.455384365707","0","0","6656","0.004","0.00632911392405063","830967.512178491","0","5.45003980667117","0","0","0.0408082629484278","0.0148746082245822","2214.92569287593","0","0.0249762480149687","9.95273954748077e-05","3.62788741608e-05","0.0251154499166013","0.0251154499166013"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.5377275794744","4.02234291507965","26.64","0.54885140546352","24.5051210403945","3.15814150497317","0.05","40","5.42313220959892","33.330536481141","3","0","0.555508941352349","1934839759813.33","130","resting-speaking","970.220924874452","970.220924874452","970.220924874452","0.0030453395916925","0.00062071977824419","1.33629354204983","15.2","0.6833700159449","0.23","3.79260139145355","2.14927149776737","0.92197641635032","0.00475979843712412","Duguid","equal","1","1","1","1","5009.71541988897","97109782.649303","0","0","5423","0.004","0.00632911392405063","156447057195.429","0","5131.60363619775","0","227958.594881969","23.7269458617512","13.7314612139465","241309513.021153","1","0.142625","0.0562279360410225","0.0329367419022515","1.38026163822198","1.38026163822198"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"47.6831838227808","3.98677747154185","26.64","0.558687525963244","24.723727547773","2.76313437474892","0.05","40","12.4025659149102","32.4284181705031","7","0","0.540473636175052","743.589704017556","130","resting-speaking","1671.59920948195","1671.59920948195","1671.59920948195","0.00647872204893821","0.000685865503043979","1.13692022933179","15.2","0.0136724871024078","0.23","1.66116472950418","0.794907895325258","0","0.00569909026031382","Duguid","equal","1","1","1","1","12.8584575321679","0.0345684757125202","0","0","12402","0.004","0.00632911392405063","50.4012456656588","0","13.1032785797646","0","0","0.225176178109688","0.1608291704212","0.190842728252488","0","6.63925248112207e-10","0.000549059402200847","0.00039218934296581","0.000941464744963164","0.000941464744963164"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.4746027328074","4.01972647215402","26.64","0.549566133565653","24.5210714417544","3.1675830099266","0.05","30","7.03240463871105","35.3660238530369","4","0","0.589433730883948","536300.687329452","130","resting-speaking","537.498697526931","537.498697526931","537.498697526931","0.00377675292164173","0.000702198228254537","1.42526742621944","15.2","0.178862481137705","0.23","2.18529883852823","1.80378158315091","0","0.00145302310353145","Duguid","equal","1","1","1","1","4.13605842736658","24.6045688234773","0","0","7032","0.004","0.00632911392405063","35039.3490519581","0","4.23024064518397","0","0","0.0338119713712243","0.013613586787874","74.8958097925519","0","1.43934800669321e-05","8.24648224462265e-05","3.32033189719416e-05","0.000130066024497403","0.000130066024497403"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.7003613593988","4.02907604625009","26.64","0.547018528330872","24.4641696678171","3.29980354127474","0.05","30","9.84669996382922","33.6285368644245","6","0","0.560475614407075","227327621.470172","130","resting-speaking","825.864215362125","825.864215362125","825.864215362125","0.00207727306697702","0.000678155623590403","0.861216819894781","15.2","0.0511088172074567","0.23","0.765853622935165","1.35881166902587","0.101556867140605","0.00362258547404781","Duguid","equal","1","1","1","1","7.00681079863152","10500.7622841138","0","0","9846","0.004","0.00632911392405063","15484295.8147555","0","7.17836702647876","0","0.226162374101766","0.0997850003722329","0.0393050340317536","53297.0146373198","0.000551463434704469","0.264908109375","0.000243348435653323","9.58613416707221e-05","0.266034726881006","0.266034726881006"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.4491116991267","4.01866941906259","26.64","0.549855282495927","24.5275213563081","3.06680823070928","0.05","30","16.2086755025165","30.6482282097566","8","0","0.510803803495943","169453051.55907","130","resting-speaking","1203.24268571279","1203.24268571279","1203.24268571279","0.00219584948057176","0.000631226474463577","0.589070783419373","15.2","0.0183660849806177","0.23","4.94798892596673","0.195834413218036","0","0.00585541683016345","Duguid","equal","1","1","1","1","9.6605557202316","7429.65958819326","0","0","16208","0.004","0.00632911392405063","11770196.4172321","0","9.91112919679474","0","0","0.304905889134999","0.132751906622616","57954.911212414","0","0.336579568710938","0.000743396444173205","0.000323732725353132","0.338006193419689","0.338006193419689"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.7493301425129","4.0311011788556","26.64","0.546469047310416","24.4518794311144","2.62003002827987","0.05","40","8.49797116959252","33.4573554874298","5","0","0.557622591457164","302827.21484601","130","resting-speaking","2996.31195884068","2996.31195884068","2996.31195884068","0.00375024673205546","0.000848861762538897","1.51651404059432","15.2","0.258120812039371","0.23","1.62577222734764","0.484597295886519","0.235350292450557","0.00950266961776652","Duguid","equal","1","1","1","1","23.0494103865991","14.5803329992695","0","0","8497","0.004","0.00632911392405063","17176.3338186663","0","23.861110386421","0","0.00635302437152154","0.230432765782485","0.138629345071775","60.3450266423579","1.54950613442395e-05","8.06820032374089e-05","0.000561873226140763","0.000338063197588889","0.000996373847260233","0.000996373847260233"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.1252606245689","4.00521579212943","26.64","0.553555443737166","24.6099099563359","2.62147145578638","0.05","40","9.78147474087651","32.5797771223048","5","0","0.542996285371747","781872.699349617","130","resting-speaking","1857.87818034332","1857.87818034332","1857.87818034332","0.00545799109813845","0.000652850813989507","0.618783787464805","15.2","0.43806689990739","0.23","0.83645293361602","2.89760618633138","0.306702218169933","0.00714654694520868","Duguid","equal","1","1","1","1","14.2933098606431","35.3681691512325","0","0","9781","0.004","0.00632911392405063","54174.9637028115","0","14.6800522205289","0","0.0255361583484851","0.17423367061039","0.115194730430586","165.052358901095","6.22813734798555e-05","0.000362395467932264","0.000424869889435797","0.000280923290808643","0.00113085882566457","0.00113085882566457"
"Hospital (single patient)",0.001,410,0.000285,130,130,"Y",3,3.7,47,49,2.5,3.5,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,3.7,2.4,3,1,"Peak",30,40,35,1,1,1,1,1,1,10000,10000,0.2,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,30,40,3,17,13,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0.23,0,411,124,0,360,25,0.44,0.52,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,"48.268998305779","4.01119260344431","26.64","0.551907040441122","24.5732403663096","3.12393258768134","0.05","40","14.4804127788107","35.8691899294673","9","0","0.597819832157788","2192.96033535863","130","resting-speaking","4207.13487103461","4207.13487103461","4207.13487103461","0.00394131845224131","0.000729822160001667","1.42395250871897","15.2","0.226577793655551","0.23","1.46477114245395","1.94192513220784","0.0690588048334718","0.00769805246777833","Duguid","equal","1","1","1","1","32.3625824632364","0.108811598067767","0","0","14480","0.004","0.00632911392405063","149.093305234138","0","33.0522398046771","0","1.85329228326927e-05","0.719797472734696","0.497263326763212","0.755025729536132","4.52022498320659e-08","1.58130157856817e-08","0.0017540634214912","0.00121210219234325","0.00296835275575536","0.00296835275575536"
