"ID","dt","DRk","Vts","gflow","gfhigh","SpeakontoSurf","Roomheight","RoomairflowNFFF","Roomvolumemin","Roomvolumemax","RoomACHmin","RoomACHmax","RoomUVCpurificationinroom","RoomUVCmaxflowrate","RoomUVCeffmin","RoomUVCeffmax","Roomwindowsopen","Roomwindspeedmin","Roomwindspeedmax","RoomsoaW","RoomsoaH","RoomsoaP","RoomNFw","RoomNFh","RoomNFd","Infected","InfStageofInfection","Infcoughrateperhourmin","Infcoughrateperhourmax","Infcoughrateperhourmode","InfCsprayprobmin","InfCsprayprobmax","InfCsprayprobmode","InfCexhaleprobmin","InfCexhaleprobmax","InfCexhaleprobmode","InfsurfacesNF","InfsurfacesFF","Infsalivastudy","InfsalivaIwasakimin","InfsalivaIwasakimax","InfsalivaChenshape","InfsalivaChenscale","InfEairTalkSmean","InfEairTalkSsd","Sufinger","Suface","Sueye","SuFFtimemin","SuFFtimemax","SuTmaxa","SuTmaxb","SuTmaxc","INACTIVaira","INACTIVairb","INACTIVairc","INACTIVsurfacea","INACTIVsurfaceb","INACTIVsurfacec","INACTIVskinmean","INACTIVskinsd","TRANSsurface.skinshape","TRANSsurface.skinscale","CONTACTsurfaceNF.handa","CONTACTsurfaceNF.handb","CONTACTsurfaceNF.handc","CONTACTsurfaceFF.handa","CONTACTsurfaceFF.handb","CONTACTsurfaceFF.handc","CONTACTface.handsize","CONTACTface.handmu","SuTARGETmin","SuTARGETmax","SuCeyeprob","SuCSPRAYprobmin","SuCSPRAYprobmax","SuCSPRAYprobmode","SuCinhaleprobmin","SuCinhaleprobmax","SuCinhaleprobmode","SuChandtouchmin","SuChandtouchmax","SuChandtouchmode","SuCfomiteprobmin","SuCfomiteprobmax","SuCfomiteprobmode","SuSPRAYprob","Su","V","W","Vn","NFsizeperc","betaNF","ACH","pSPRAY","FFtime","Tmax","Infcoughrateperhour","Ncough","FFinfected","COUGHrate","CONCsaliva","gf","Infactivity","InfEairTalkS","EairTalkS","InfEairTalkSQA","INACTIVair","INACTIVsurface","INACTIVskin","Aportals","TRANSsurface.skin","TRANSskin","CONTACTsurfaceNF.hand","CONTACTsurfaceFF.hand","CONTACTface.hand","pTARGET","ExtraExpVolStudy","distsalivavirusconc","Feye","Fspray","Finhale","Ffomite","rateEair","rateEsurface","rateEair2","rateEsurface2","nsteps","probthin","probinsp","Nsurface","Nsurface2","Nair","Nair2","doseFACE","doseLUNG","doseLUNGFF","doseSPRAY","rFACE","rSPRAY","rLUNGNF","rLUNGFF","rOVERALL","numberinfected"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.778142750263","6.34688592934328","11","0.0992975665316781","6.412593585751","3.4332242872566","0.05","0","122.285513217384","1.5382064942383","3","0","0.0256367749039716","551022.959009155","130","resting-speaking","411.963735460513","411.963735460513","411.963735460513","0.00303198941736749","0.000738006862080243","0.462525515686954","15.2","0.551892963694927","0.551892963694927","8.41903596504726","1.23688113567737","0.0735982518550737","0.0348665515852626","Duguid","equal","1","1","1","1","3.16901745626073","1.26855625469371","0","0","122285","0.004","0.00632911392405063","1718.89493157014","0","4.92211172681347","0","0.0873090262959814","5.31582791261134","0","65.2053516839514","0.000212926172628469","0.000154935471248563","0.0128817447738653","0","0.0132488928111112","0.0662444640555559"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.75230985228","6.37473164789289","11","0.0984319699032655","6.38458248096656","3.58376997029409","0.05","20","122.090925339261","1.05604923439496","2","0","0.0176008205732493","6329392.79667997","130","resting-speaking","1542.56094137897","1542.56094137897","1542.56094137897","0.001872866505208","0.000715394795863379","0.747564485589076","15.2","0.409188370837038","0.409188370837038","6.94537686478837","3.69319919230603","0.0819061692931925","0.0540282086653169","Duguid","equal","1","1","1","1","11.8663650077155","11.7887010514001","0","0","122090","0.004","0.00632911392405063","16478.5949234825","0","18.4652850261485","0","0.796156746060557","15.6409917720525","0.38342786118254","569.604357448764","0.0019399615594764","0.0116107082900334","0.0374302620381524","0.000934752751528323","0.0523491795870084","0.261745897935042"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.344149605371","6.36307957475627","11","0.0987927972775085","6.39627393023118","3.52269239844754","0.05","10","117.269021722051","1.06840721301674","2","0","0.0178067868836124","2964883.92088252","130","resting-speaking","461.50816086586","461.50816086586","461.50816086586","0.0056338166446946","0.000608696121447849","1.76805903566647","15.2","0.329034962243463","0.329034962243463","6.40082520265172","1.59683005141624","0.00852740122937312","0.0965399181675166","Duguid","equal","1","1","1","1","3.55030827475832","5.0493813900958","0","0","117269","0.004","0.00632911392405063","8295.40588838534","0","5.4921000055564","0","0.0429621532787442","4.86515341189057","0.0524172003383159","253.895375749651","0.000104780249870373","0.0043887512446491","0.0117961018035954","0.000127838658035784","0.0164705606722608","0.082352803361304"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.225483345799","6.33103419228857","11","0.0997954344685505","6.42864953242143","3.56643135128543","0.05","30","117.930836962669","1.3067433431646","3","0","0.02177905571941","663.109212724367","130","resting-speaking","1818.0694506884","1818.0694506884","1818.0694506884","0.00535561902268431","0.000708840485580223","1.0635736558546","15.2","0.460178724050203","0.460178724050203","5.75343725154789","0.366325538505719","0.00847954636594798","0.0829680342052598","Duguid","equal","1","1","1","1","13.9851497025399","0.00149493971732697","0","0","117930","0.004","0.00632911392405063","2.10899313419335","0","21.5209331645644","0","4.15580950671481e-05","14.875371244408","0.63566122204659","0.0751224298300607","1.01361202320405e-07","5.87172310773099e-10","0.0356311116245805","0.00154919198580628","0.0372356015642101","0.18617800782105"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.742491650861","6.34586455606715","11","0.0993295331902034","6.4136256991315","3.2700766576454","0.05","20","121.282115266277","1.64906104635082","3","0","0.0274843507725136","562336102.551006","130","resting-speaking","2056.09123069172","2056.09123069172","2056.09123069172","0.00276728648087177","0.000773854572856583","1.0887443342793","15.2","0.0118281113938756","0.0118281113938756","6.79713431454975","5.44189402324146","0","0.0804771936789621","Duguid","equal","1","1","1","1","15.8828824848731","1172.92891785522","0","0","121282","0.004","0.00632911392405063","1515696.82340379","0","24.7804877065423","0","0","22.0436644372361","0.544028770661681","60560.183214005","0","0.142625","0.0523452541597055","0.00132601949881661","0.204030449611054","1.02015224805527"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.896916076541","6.35028749747288","11","0.0991912163942216","6.40915864300581","3.35745066991076","0.05","30","117.300700665639","1.4833278976837","3","0","0.0247221316280617","55218174.858924","130","resting-speaking","269.430221624669","269.430221624669","269.430221624669","0.00422114322394874","0.000705402224971471","1.98846054352583","15.2","0.479773476851248","0.479773476851248","3.1391973957048","4.26034140003071","0","0.0802281802522484","Duguid","equal","1","1","1","1","2.07909360520217","129.453565371627","0","0","117300","0.004","0.00632911392405063","183517.376028779","0","3.2311846912156","0","0","2.3373296168022","0.0981351054320783","6369.55677414557","0","0.142624999999751","0.00568458519522319","0.000239325272824775","0.149395362699513","0.746976813497563"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.566784561612","6.34082829581039","11","0.0994873826132695","6.41871977938465","3.49644749099389","0.05","10","119.529518077009","1.30639332644796","3","0","0.0217732221074661","23535990.3049387","130","resting-speaking","320.60709943125","320.60709943125","320.60709943125","0.00403396290184302","0.000775876382991329","0.368047387647053","15.2","0.763244021355742","0.763244021355742","6.62383685113717","6.26484939489878","0","0.0339584921225905","Duguid","equal","1","1","1","1","2.46901109722441","54.0547955213763","0","0","119529","0.004","0.00632911392405063","69669.339995854","0","3.81935757983548","0","0","3.5469486746188","0.0384100199168869","2884.29660134682","0","0.125509270863837","0.00861378128886736","9.36785872941437e-05","0.135310505883796","0.676552529418981"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.945983156096","6.3516922056208","11","0.0991473479893677","6.40774122587101","3.27699422538281","0.05","20","118.714120682309","1.21128920152363","2","0","0.0201881533587272","3107343027.38045","130","resting-speaking","1804.6856247764","1804.6856247764","1804.6856247764","0.00208628669434382","0.000831547062021361","0.874666722734184","15.2","0.083993828293906","0.083993828293906","3.76024744872837","5.24670541813758","0.0168471955021443","0.00566940757329576","Duguid","equal","1","1","1","1","14.1195391632602","5135.43484474023","0","0","118714","0.004","0.00632911392405063","6175759.71257331","0","22.067251828743","0","0.397897670972626","19.3362627836054","0.46784424642785","222404.224248486","0.000970011358848777","0.0975","0.0460667862591508","0.00114043273962217","0.150393100249418","0.751965501247091"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"110.963275870308","6.35218719297988","11","0.0991318966903662","6.40724190952364","3.24788854699582","0.05","20","121.711100962155","1.456524791833","3","0","0.0242754131972167","178926.926543357","130","resting-speaking","2108.62976172825","2108.62976172825","2108.62976172825","0.00392468278912926","0.00066211641105243","1.02880750073921","15.2","0.0163305865231518","0.0163305865231518","4.51140384477356","7.20120916887599","0","0.0110125922181178","Duguid","equal","1","1","1","1","16.2202505016477","0.494245520506514","0","0","121711","0.004","0.00632911392405063","746.463178160641","0","25.2987177208779","0","0","22.3132749957356","0.549167279260806","26.0659757906305","0","7.19642729862802e-06","0.0529682144956685","0.00133853574925324","0.0543852378457025","0.271926189228512"
"Meeting_room_1",0.001,410,0.000285,130,130,"Y",2.75,3.7,110,112,3.2,3.6,"N",NA,NA,NA,"N",NA,NA,NA,NA,NA,2,2,2.75,1,"Peak",1,2,1,1,1,1,1,1,1,20000,5000,"Chen",0,8.671451,3.47,7.01,7,0.7,10,10,5.2,0,30,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,0,822,248,0,720,25,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,5,"111.1691031144","6.35807584141904","11","0.0989483560794792","6.40130772502964","3.35256118671969","0.05","30","120.420742057514","1.51811387562535","3","0","0.0253018979270892","1367023.0046488","130","resting-speaking","709.510917911473","709.510917911473","709.510917911473","0.003410815426419","0.000810735010923562","0.770668982078929","15.2","0.184456991615098","0.184456991615098","4.05855093917964","0.844689330650961","0.058129520549348","0.0139134709087666","Duguid","equal","1","1","1","1","5.45793706394282","2.59112635121212","0","0","120420","0.004","0.00632911392405063","3196.02128476036","0","8.50358973733179","0","0.0072358656896274","6.38557912295453","0.269199305350744","132.633948468332","1.76482971685488e-05","0.000331479657290634","0.0154539266096878","0.00065636816769632","0.0164746547662243","0.0823732738311215"
